product_category_name_english,order_count,mean_price,std_price,total_revenue
bed_bath_table,10940,91.91,68.15,1005468.9
health_beauty,9361,117.59,126.79,1100794.34
sports_leisure,8365,103.03,94.05,861804.88
furniture_decor,8148,85.41,73.61,695920.97
computers_accessories,7578,104.48,94.95,791746.09
housewares,6772,85.37,86.27,578130.05
watches_gifts,5718,171.0,162.86,977799.81
telephony,4400,62.62,96.02,275515.19
garden_tools,4212,91.54,95.07,385553.94
auto,4082,120.19,124.19,490634.11
toys,4018,113.62,115.98,456536.5
cool_stuff,3688,154.32,136.17,569140.89
perfumery,3340,116.81,101.73,390144.65
baby,2911,108.48,111.68,315780.93
electronics,2723,52.55,78.97,143081.34
stationery,2464,89.73,73.52,221096.79
fashion_bags_accessories,1980,72.48,78.25,143501.4
pet_shop,1913,102.68,98.01,196422.31
office_furniture,1665,158.96,80.66,264674.61
luggage_accessories,1072,124.37,88.83,133321.93
consoles_games,1072,116.88,153.0,125291.6
construction_tools_construction,896,123.53,133.02,110678.5
home_appliances,742,87.62,117.27,65012.48
small_appliances,601,166.76,197.65,100222.33
musical_instruments,599,173.31,184.16,103815.25
home_construction,593,131.93,127.51,78233.59
books_general_interest,537,84.36,101.0,45302.15
food,499,57.58,41.23,28731.15
furniture_living_room,495,136.06,114.34,67350.7
home_confort,429,135.22,105.48,58008.45
audio,362,139.7,159.99,50570.6
drinks,361,59.64,68.16,21529.84
market_place,304,84.97,74.4,25831.77
construction_tools_lights,299,126.08,95.57,37698.0
air_conditioning,288,179.6,170.74,51724.56
kitchen_dining_laundry_garden_furniture,272,158.87,144.55,43212.08
food_drink,269,55.55,69.59,14942.88
books_technical,263,71.11,61.86,18702.23
industry_commerce_and_business,260,117.34,99.84,30508.92
fashion_shoes,257,89.5,65.1,23001.46
fixed_telephony,236,105.18,139.37,24823.22
costruction_tools_garden,231,102.8,127.86,23746.38
home_appliances_2,201,288.85,214.21,58058.1
signaling_and_security,197,108.2,125.16,21315.05
art,196,87.54,41.9,17158.3
agro_industry_and_commerce,185,230.69,203.42,42677.77
construction_tools_safety,178,166.34,138.5,29608.52
christmas_supplies,150,58.25,52.84,8737.84
fashion_underwear_beach,127,73.28,49.53,9305.95
fashion_male_clothing,125,83.62,55.45,10452.33
furniture_bedroom,103,184.97,123.25,19051.8
costruction_tools_tools,100,118.07,148.07,11806.95
computers,95,672.09,115.99,63848.35
tablets_printing_image,82,80.96,28.12,6638.42
cine_photo,70,95.35,129.16,6674.47
small_appliances_home_oven_and_coffee,60,413.38,335.1,24802.56
dvds_blu_ray,60,52.04,102.64,3122.59
books_imported,57,77.52,96.56,4418.86
fashio_female_clothing,45,58.55,39.71,2634.94
party_supplies,42,106.31,115.27,4465.19
furniture_mattress_and_upholstery,37,116.85,83.81,4323.38
diapers_and_hygiene,37,40.56,25.69,1500.79
music,37,131.58,156.56,4868.38
flowers,33,33.64,16.74,1110.04
home_comfort_2,30,25.34,41.67,760.27
fashion_sport,29,72.22,49.27,2094.52
arts_and_craftmanship,24,75.58,74.0,1814.01
cds_dvds_musicals,14,52.14,9.94,730.0
la_cuisine,14,146.78,79.37,2054.99
fashion_childrens_clothes,7,74.28,33.1,519.95
security_and_services,2,141.64,58.89,283.29
